Rules,Antecedence,Consequent,sup(A),sup(B),sup(A U B),Kulczynski,IR
"If ['Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Longitude 6']","('Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Longitude 6',)",8034,30265,8034,0.6327,0.7345448537915084
"If ['Longitude 6', 'Magnitude Type ML'], Then ['Latitude 148', 'Month 33', 'Year 41']","('Longitude 6', 'Magnitude Type ML')","('Latitude 148', 'Month 33', 'Year 41')",23802,11149,9577,0.6307,0.49866004571608735
"If ['Depth 5', 'Latitude 148', 'Region Name ISLAND OF HAWAII, HAWAII'], Then ['Longitude 6', 'Magnitude Type ML', 'Year 41']","('Depth 5', 'Latitude 148', 'Region Name ISLAND OF HAWAII, HAWAII')","('Longitude 6', 'Magnitude Type ML', 'Year 41')",9366,21652,8216,0.6283,0.5388123848785195
"If ['Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Latitude 148',)",9023,34573,8971,0.6269,0.7379061371841156
"If ['Latitude 148', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Depth 5', 'Longitude 6']","('Latitude 148', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Depth 5', 'Longitude 6')",20866,9567,8216,0.6263,0.5085745150110276
"If ['Longitude 6', 'Month 28', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Month 28', 'Year 41')","('Latitude 148',)",9082,34573,9007,0.6261,0.7357134610944355
"If ['Longitude 22'], Then ['Magnitude Type  M']","('Longitude 22',)","('Magnitude Type  M',)",7215,17760,6424,0.626,0.5684329685731228
"If ['Depth 6', 'Latitude 148'], Then ['Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41']","('Depth 6', 'Latitude 148')","('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",10237,21115,8627,0.6256,0.4786798679867987
"If ['Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Depth 6', 'Latitude 148']","('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Depth 6', 'Latitude 148')",21115,10237,8627,0.6256,0.4786798679867987
"If ['Depth 5', 'Year 41'], Then ['Latitude 148', 'Longitude 6']","('Depth 5', 'Year 41')","('Latitude 148', 'Longitude 6')",10199,28010,9329,0.6239,0.616724376731302
"If ['Depth 5', 'Longitude 6'], Then ['Latitude 148', 'Magnitude Type ML', 'Year 41']","('Depth 5', 'Longitude 6')","('Latitude 148', 'Magnitude Type ML', 'Year 41')",9567,21480,8249,0.6231,0.5225458373541538
"If ['Depth 5', 'Longitude 6', 'Year 41'], Then ['Latitude 148', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII']","('Depth 5', 'Longitude 6', 'Year 41')","('Latitude 148', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",9395,22309,8216,0.6214,0.5498126702997275
"If ['Depth 5', 'Region Name ISLAND OF HAWAII, HAWAII'], Then ['Latitude 148', 'Longitude 6', 'Magnitude Type ML']","('Depth 5', 'Region Name ISLAND OF HAWAII, HAWAII')","('Latitude 148', 'Longitude 6', 'Magnitude Type ML')",9388,22697,8252,0.6213,0.5584273905928754
"If ['Latitude 148', 'Longitude 6'], Then ['Year 41']","('Latitude 148', 'Longitude 6')","('Year 41',)",28010,73186,25152,0.6208,0.5940771132502236
"If ['Latitude 148', 'Longitude 6', 'Month 28'], Then ['Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41']","('Latitude 148', 'Longitude 6', 'Month 28')","('Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9272,21115,7994,0.6204,0.5288706292144867
