Rules,Antecedence,Consequent,sup(A),sup(B),sup(A U B),Kulczynski,IR
"If ['Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Year 41'], Then ['Region Name ISLAND OF HAWAII, HAWAII']","('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Year 41')","('Region Name ISLAND OF HAWAII, HAWAII',)",21162,27976,20866,0.8659,0.24101584606677987
"If ['Longitude 6', 'Magnitude Type ML', 'Year 41'], Then ['Latitude 148', 'Region Name ISLAND OF HAWAII, HAWAII']","('Longitude 6', 'Magnitude Type ML', 'Year 41')","('Latitude 148', 'Region Name ISLAND OF HAWAII, HAWAII')",21652,27191,20866,0.8655,0.1979840583336312
"If ['Latitude 148', 'Magnitude Type ML'], Then ['Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41']","('Latitude 148', 'Magnitude Type ML')","('Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",23432,24930,20866,0.8637,0.054480651731160894
"If ['Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Latitude 148', 'Magnitude Type ML']","('Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Latitude 148', 'Magnitude Type ML')",24930,23432,20866,0.8637,0.054480651731160894
"If ['Longitude 6', 'Year 41'], Then ['Latitude 148', 'Magnitude Type ML']","('Longitude 6', 'Year 41')","('Latitude 148', 'Magnitude Type ML')",25897,23432,21162,0.8601,0.0875137572336422
"If ['Longitude 6'], Then ['Latitude 148', 'Magnitude Type ML']","('Longitude 6',)","('Latitude 148', 'Magnitude Type ML')",30265,23432,22697,0.8593,0.22041935483870967
"If ['Latitude 148', 'Magnitude Type ML'], Then ['Longitude 6']","('Latitude 148', 'Magnitude Type ML')","('Longitude 6',)",23432,30265,22697,0.8593,0.22041935483870967
"If ['Longitude 6', 'Magnitude Type ML'], Then ['Latitude 148', 'Year 41']","('Longitude 6', 'Magnitude Type ML')","('Latitude 148', 'Year 41')",23802,26000,21162,0.8515,0.07674581005586592
"If ['Latitude 148', 'Year 41'], Then ['Longitude 6', 'Magnitude Type ML']","('Latitude 148', 'Year 41')","('Longitude 6', 'Magnitude Type ML')",26000,23802,21162,0.8515,0.07674581005586592
"If ['Latitude 148'], Then ['Longitude 6', 'Year 41']","('Latitude 148',)","('Longitude 6', 'Year 41')",34573,25897,25152,0.8494,0.24565377427940427
"If ['Longitude 6', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Year 41')","('Latitude 148',)",25897,34573,25152,0.8494,0.24565377427940427
"If ['Latitude 148'], Then ['Region Name ISLAND OF HAWAII, HAWAII', 'Year 41']","('Latitude 148',)","('Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",34573,24930,24576,0.8483,0.2760901308443325
"If ['Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Latitude 148',)",24930,34573,24576,0.8483,0.2760901308443325
"If ['Latitude 148', 'Magnitude Type ML', 'Year 41'], Then ['Longitude 6']","('Latitude 148', 'Magnitude Type ML', 'Year 41')","('Longitude 6',)",21480,30265,21162,0.8422,0.2872510872053101
"If ['Region Name CENTRAL ITALY'], Then ['Latitude 184', 'Longitude 50', 'Magnitude Type ML']","('Region Name CENTRAL ITALY',)","('Latitude 184', 'Longitude 50', 'Magnitude Type ML')",6920,4368,4368,0.8156,0.36878612716763004
"If ['Latitude 184', 'Longitude 50', 'Magnitude Type ML'], Then ['Region Name CENTRAL ITALY']","('Latitude 184', 'Longitude 50', 'Magnitude Type ML')","('Region Name CENTRAL ITALY',)",4368,6920,4368,0.8156,0.36878612716763004
"If ['Latitude 184', 'Longitude 50'], Then ['Magnitude Type ML', 'Region Name CENTRAL ITALY']","('Latitude 184', 'Longitude 50')","('Magnitude Type ML', 'Region Name CENTRAL ITALY')",4415,6854,4368,0.8133,0.3534270395594841
"If ['Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII'], Then ['Latitude 148']","('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')","('Latitude 148',)",22795,34573,22309,0.812,0.3359479734162412
"If ['Longitude 6', 'Magnitude Type ML'], Then ['Latitude 148']","('Longitude 6', 'Magnitude Type ML')","('Latitude 148',)",23802,34573,22697,0.805,0.3018947250406413
"If ['Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')","('Latitude 148',)",21115,34573,20866,0.7959,0.3864798116133479
"If ['Longitude 6', 'Magnitude Type ML', 'Year 41'], Then ['Latitude 148']","('Longitude 6', 'Magnitude Type ML', 'Year 41')","('Latitude 148',)",21652,34573,21162,0.7947,0.36850811396628924
"If ['Longitude 58', 'Magnitude Type ML'], Then ['Region Name EASTERN TURKEY']","('Longitude 58', 'Magnitude Type ML')","('Region Name EASTERN TURKEY',)",6378,9183,5648,0.7503,0.2829617673761727
"If ['Region Name CENTRAL ITALY'], Then ['Longitude 50', 'Magnitude Type ML']","('Region Name CENTRAL ITALY',)","('Longitude 50', 'Magnitude Type ML')",6920,8107,5601,0.7501,0.12592828347124974
"If ['Region Name OKLAHOMA'], Then ['Longitude 21']","('Region Name OKLAHOMA',)","('Longitude 21',)",5863,11453,5815,0.7498,0.4860446917659334
