Bins,Label
2013.12,Year 0
2013.24,Year 1
2013.36,Year 2
2013.48,Year 3
2013.6,Year 4
2013.72,Year 5
2013.84,Year 6
2013.96,Year 7
2014.08,Year 8
2014.2,Year 9
2014.32,Year 10
2014.44,Year 11
2014.56,Year 12
2014.68,Year 13
2014.8,Year 14
2014.92,Year 15
2015.04,Year 16
2015.16,Year 17
2015.28,Year 18
2015.4,Year 19
2015.52,Year 20
2015.64,Year 21
2015.76,Year 22
2015.88,Year 23
2016.0,Year 24
2016.12,Year 25
2016.24,Year 26
2016.36,Year 27
2016.48,Year 28
2016.6,Year 29
2016.72,Year 30
2016.84,Year 31
2016.96,Year 32
2017.08,Year 33
2017.2,Year 34
2017.32,Year 35
2017.44,Year 36
2017.56,Year 37
2017.68,Year 38
2017.8,Year 39
2017.92,Year 40
2018.04,Year 41
2018.16,Year 42
2018.28,Year 43
2018.4,Year 44
2018.52,Year 45
2018.64,Year 46
2018.76,Year 47
2018.88,Year 48
2019.0,Year 49
