Bins,Label
230.25,Depth 318
231.0,Depth 319
231.75,Depth 320
232.5,Depth 321
233.25,Depth 322
234.0,Depth 323
234.75,Depth 324
235.5,Depth 325
236.25,Depth 326
237.0,Depth 327
237.75,Depth 328
238.5,Depth 329
239.25,Depth 330
240.0,Depth 331
240.75,Depth 332
241.5,Depth 333
242.25,Depth 334
243.0,Depth 335
243.75,Depth 336
244.5,Depth 337
245.25,Depth 338
246.0,Depth 339
246.75,Depth 340
247.5,Depth 341
248.25,Depth 342
249.0,Depth 343
249.75,Depth 344
250.5,Depth 345
251.25,Depth 346
252.0,Depth 347
252.75,Depth 348
253.5,Depth 349
254.25,Depth 350
255.0,Depth 351
255.75,Depth 352
256.5,Depth 353
257.25,Depth 354
258.0,Depth 355
258.75,Depth 356
259.5,Depth 357
260.25,Depth 358
261.0,Depth 359
261.75,Depth 360
262.5,Depth 361
263.25,Depth 362
264.0,Depth 363
264.75,Depth 364
265.5,Depth 365
266.25,Depth 366
267.0,Depth 367
267.75,Depth 368
268.5,Depth 369
269.25,Depth 370
270.0,Depth 371
270.75,Depth 372
271.5,Depth 373
272.25,Depth 374
273.0,Depth 375
273.75,Depth 376
274.5,Depth 377
275.25,Depth 378
276.0,Depth 379
276.75,Depth 380
277.5,Depth 381
278.25,Depth 382
279.0,Depth 383
279.75,Depth 384
280.5,Depth 385
281.25,Depth 386
282.0,Depth 387
282.75,Depth 388
283.5,Depth 389
284.25,Depth 390
285.0,Depth 391
285.75,Depth 392
286.5,Depth 393
287.25,Depth 394
288.0,Depth 395
288.75,Depth 396
289.5,Depth 397
290.25,Depth 398
291.0,Depth 399
291.75,Depth 400
292.5,Depth 401
293.25,Depth 402
294.0,Depth 403
294.75,Depth 404
295.5,Depth 405
296.25,Depth 406
297.0,Depth 407
297.75,Depth 408
298.5,Depth 409
299.25,Depth 410
300.0,Depth 411
300.75,Depth 412
301.5,Depth 413
302.25,Depth 414
303.0,Depth 415
303.75,Depth 416
304.5,Depth 417
305.25,Depth 418
306.0,Depth 419
306.75,Depth 420
307.5,Depth 421
308.25,Depth 422
309.0,Depth 423
