Bins,Label
0.58,Magnitude 0
0.62,Magnitude 1
0.66,Magnitude 2
0.7,Magnitude 3
0.74,Magnitude 4
0.78,Magnitude 5
0.82,Magnitude 6
0.86,Magnitude 7
0.9,Magnitude 8
0.94,Magnitude 9
0.98,Magnitude 10
1.02,Magnitude 11
1.06,Magnitude 12
1.1,Magnitude 13
1.14,Magnitude 14
1.18,Magnitude 15
1.22,Magnitude 16
1.26,Magnitude 17
1.3,Magnitude 18
1.34,Magnitude 19
1.38,Magnitude 20
1.42,Magnitude 21
1.46,Magnitude 22
1.5,Magnitude 23
1.54,Magnitude 24
1.58,Magnitude 25
1.62,Magnitude 26
1.66,Magnitude 27
1.7,Magnitude 28
1.74,Magnitude 29
1.78,Magnitude 30
1.82,Magnitude 31
1.86,Magnitude 32
1.9,Magnitude 33
1.94,Magnitude 34
1.98,Magnitude 35
2.02,Magnitude 36
2.06,Magnitude 37
2.1,Magnitude 38
2.14,Magnitude 39
2.18,Magnitude 40
2.22,Magnitude 41
2.26,Magnitude 42
2.3,Magnitude 43
2.34,Magnitude 44
2.38,Magnitude 45
2.42,Magnitude 46
2.46,Magnitude 47
2.5,Magnitude 48
2.54,Magnitude 49
2.58,Magnitude 50
2.62,Magnitude 51
2.66,Magnitude 52
2.7,Magnitude 53
2.74,Magnitude 54
2.78,Magnitude 55
2.82,Magnitude 56
2.86,Magnitude 57
2.9,Magnitude 58
2.94,Magnitude 59
2.98,Magnitude 60
3.02,Magnitude 61
3.06,Magnitude 62
3.1,Magnitude 63
3.14,Magnitude 64
3.18,Magnitude 65
3.22,Magnitude 66
3.26,Magnitude 67
3.3,Magnitude 68
3.34,Magnitude 69
3.38,Magnitude 70
3.42,Magnitude 71
3.46,Magnitude 72
3.5,Magnitude 73
3.54,Magnitude 74
3.58,Magnitude 75
3.62,Magnitude 76
3.66,Magnitude 77
3.7,Magnitude 78
3.74,Magnitude 79
3.78,Magnitude 80
3.82,Magnitude 81
3.86,Magnitude 82
3.9,Magnitude 83
3.94,Magnitude 84
3.98,Magnitude 85
4.02,Magnitude 86
4.06,Magnitude 87
4.1,Magnitude 88
4.14,Magnitude 89
4.18,Magnitude 90
4.22,Magnitude 91
4.26,Magnitude 92
4.3,Magnitude 93
4.34,Magnitude 94
4.38,Magnitude 95
4.42,Magnitude 96
4.46,Magnitude 97
4.5,Magnitude 98
4.54,Magnitude 99
4.58,Magnitude 100
4.62,Magnitude 101
4.66,Magnitude 102
4.7,Magnitude 103
4.74,Magnitude 104
4.78,Magnitude 105
4.82,Magnitude 106
4.86,Magnitude 107
4.9,Magnitude 108
4.94,Magnitude 109
4.98,Magnitude 110
5.02,Magnitude 111
5.06,Magnitude 112
5.1,Magnitude 113
5.14,Magnitude 114
5.18,Magnitude 115
5.22,Magnitude 116
5.26,Magnitude 117
5.3,Magnitude 118
5.34,Magnitude 119
5.38,Magnitude 120
5.42,Magnitude 121
5.46,Magnitude 122
5.5,Magnitude 123
5.54,Magnitude 124
5.58,Magnitude 125
5.62,Magnitude 126
5.66,Magnitude 127
5.7,Magnitude 128
5.74,Magnitude 129
5.78,Magnitude 130
5.82,Magnitude 131
5.86,Magnitude 132
5.9,Magnitude 133
5.94,Magnitude 134
5.98,Magnitude 135
6.02,Magnitude 136
6.06,Magnitude 137
6.1,Magnitude 138
6.14,Magnitude 139
6.18,Magnitude 140
6.22,Magnitude 141
6.26,Magnitude 142
6.3,Magnitude 143
6.34,Magnitude 144
6.38,Magnitude 145
6.42,Magnitude 146
6.46,Magnitude 147
6.5,Magnitude 148
6.54,Magnitude 149
6.58,Magnitude 150
6.62,Magnitude 151
6.66,Magnitude 152
6.7,Magnitude 153
6.74,Magnitude 154
6.78,Magnitude 155
6.82,Magnitude 156
6.86,Magnitude 157
6.9,Magnitude 158
6.94,Magnitude 159
6.98,Magnitude 160
7.02,Magnitude 161
7.06,Magnitude 162
7.1,Magnitude 163
7.14,Magnitude 164
7.18,Magnitude 165
7.22,Magnitude 166
7.26,Magnitude 167
7.3,Magnitude 168
7.34,Magnitude 169
7.38,Magnitude 170
7.42,Magnitude 171
7.46,Magnitude 172
7.5,Magnitude 173
7.54,Magnitude 174
7.58,Magnitude 175
7.62,Magnitude 176
7.66,Magnitude 177
7.7,Magnitude 178
7.74,Magnitude 179
7.78,Magnitude 180
7.82,Magnitude 181
7.86,Magnitude 182
7.9,Magnitude 183
7.94,Magnitude 184
7.98,Magnitude 185
8.02,Magnitude 186
8.06,Magnitude 187
8.1,Magnitude 188
8.14,Magnitude 189
8.18,Magnitude 190
8.22,Magnitude 191
8.26,Magnitude 192
8.3,Magnitude 193
