Bins,Label
-78.59,Latitude 0
-77.93,Latitude 1
-77.27,Latitude 2
-76.61,Latitude 3
-75.95,Latitude 4
-75.29,Latitude 5
-74.63,Latitude 6
-73.97,Latitude 7
-73.31,Latitude 8
-72.65,Latitude 9
-71.99,Latitude 10
-71.33,Latitude 11
-70.67,Latitude 12
-70.01,Latitude 13
-69.35,Latitude 14
-68.69,Latitude 15
-68.03,Latitude 16
-67.37,Latitude 17
-66.71,Latitude 18
-66.05,Latitude 19
-65.39,Latitude 20
-64.73,Latitude 21
-64.07,Latitude 22
-63.41,Latitude 23
-62.75,Latitude 24
-62.09,Latitude 25
-61.43,Latitude 26
-60.77,Latitude 27
-60.11,Latitude 28
-59.45,Latitude 29
-58.79,Latitude 30
-58.13,Latitude 31
-57.47,Latitude 32
-56.81,Latitude 33
-56.15,Latitude 34
-55.49,Latitude 35
-54.83,Latitude 36
-54.17,Latitude 37
-53.51,Latitude 38
-52.85,Latitude 39
-52.19,Latitude 40
-51.53,Latitude 41
-50.87,Latitude 42
-50.21,Latitude 43
-49.55,Latitude 44
-48.89,Latitude 45
-48.23,Latitude 46
-47.57,Latitude 47
-46.91,Latitude 48
-46.25,Latitude 49
-45.59,Latitude 50
-44.93,Latitude 51
-44.27,Latitude 52
-43.61,Latitude 53
-42.95,Latitude 54
-42.29,Latitude 55
-41.63,Latitude 56
-40.97,Latitude 57
-40.31,Latitude 58
-39.65,Latitude 59
-38.99,Latitude 60
-38.33,Latitude 61
-37.67,Latitude 62
-37.01,Latitude 63
-36.35,Latitude 64
-35.69,Latitude 65
-35.03,Latitude 66
-34.37,Latitude 67
-33.71,Latitude 68
-33.05,Latitude 69
-32.39,Latitude 70
-31.73,Latitude 71
-31.07,Latitude 72
-30.41,Latitude 73
-29.75,Latitude 74
-29.09,Latitude 75
-28.43,Latitude 76
-27.77,Latitude 77
-27.11,Latitude 78
-26.45,Latitude 79
-25.79,Latitude 80
-25.13,Latitude 81
-24.47,Latitude 82
-23.81,Latitude 83
-23.15,Latitude 84
-22.49,Latitude 85
-21.83,Latitude 86
-21.17,Latitude 87
-20.51,Latitude 88
-19.85,Latitude 89
-19.19,Latitude 90
-18.53,Latitude 91
-17.87,Latitude 92
-17.21,Latitude 93
-16.55,Latitude 94
-15.89,Latitude 95
-15.23,Latitude 96
-14.57,Latitude 97
-13.91,Latitude 98
-13.25,Latitude 99
-12.59,Latitude 100
-11.93,Latitude 101
-11.27,Latitude 102
-10.61,Latitude 103
-9.95,Latitude 104
-9.29,Latitude 105
-8.63,Latitude 106
-7.97,Latitude 107
-7.31,Latitude 108
-6.65,Latitude 109
-5.99,Latitude 110
-5.33,Latitude 111
-4.67,Latitude 112
-4.01,Latitude 113
-3.35,Latitude 114
-2.69,Latitude 115
-2.03,Latitude 116
