Bins,Label
-175.32,Longitude 0
-171.54,Longitude 1
-167.76,Longitude 2
-163.98,Longitude 3
-160.2,Longitude 4
-156.42,Longitude 5
-152.64,Longitude 6
-148.86,Longitude 7
-145.08,Longitude 8
-141.3,Longitude 9
-137.52,Longitude 10
-133.74,Longitude 11
-129.96,Longitude 12
-126.18,Longitude 13
-122.4,Longitude 14
-118.62,Longitude 15
-114.84,Longitude 16
-111.06,Longitude 17
-107.28,Longitude 18
-103.5,Longitude 19
-99.72,Longitude 20
-95.94,Longitude 21
-92.16,Longitude 22
-88.38,Longitude 23
-84.6,Longitude 24
-80.82,Longitude 25
-77.04,Longitude 26
-73.26,Longitude 27
-69.48,Longitude 28
-65.7,Longitude 29
-61.92,Longitude 30
-58.14,Longitude 31
-54.36,Longitude 32
-50.58,Longitude 33
-46.8,Longitude 34
-43.02,Longitude 35
-39.24,Longitude 36
-35.46,Longitude 37
-31.68,Longitude 38
-27.9,Longitude 39
-24.12,Longitude 40
-20.34,Longitude 41
-16.56,Longitude 42
-12.78,Longitude 43
-9.0,Longitude 44
-5.22,Longitude 45
-1.44,Longitude 46
2.34,Longitude 47
6.12,Longitude 48
9.9,Longitude 49
13.68,Longitude 50
17.46,Longitude 51
21.24,Longitude 52
25.02,Longitude 53
28.8,Longitude 54
32.58,Longitude 55
36.36,Longitude 56
40.14,Longitude 57
43.92,Longitude 58
47.7,Longitude 59
51.48,Longitude 60
55.26,Longitude 61
59.04,Longitude 62
62.82,Longitude 63
66.6,Longitude 64
70.38,Longitude 65
74.16,Longitude 66
77.94,Longitude 67
81.72,Longitude 68
85.5,Longitude 69
89.28,Longitude 70
93.06,Longitude 71
96.84,Longitude 72
100.62,Longitude 73
104.4,Longitude 74
108.18,Longitude 75
111.96,Longitude 76
115.74,Longitude 77
119.52,Longitude 78
123.3,Longitude 79
127.08,Longitude 80
130.86,Longitude 81
134.64,Longitude 82
138.42,Longitude 83
142.2,Longitude 84
145.98,Longitude 85
149.76,Longitude 86
153.54,Longitude 87
157.32,Longitude 88
161.1,Longitude 89
164.88,Longitude 90
168.66,Longitude 91
172.44,Longitude 92
176.22,Longitude 93
180.0,Longitude 94
