Bins,Label
1.02,Month 0
1.2,Month 1
1.38,Month 2
1.56,Month 3
1.74,Month 4
1.92,Month 5
2.1,Month 6
2.28,Month 7
2.46,Month 8
2.64,Month 9
2.82,Month 10
3.0,Month 11
3.18,Month 12
3.36,Month 13
3.54,Month 14
3.72,Month 15
3.9,Month 16
4.08,Month 17
4.26,Month 18
4.44,Month 19
4.62,Month 20
4.8,Month 21
4.98,Month 22
5.16,Month 23
5.34,Month 24
5.52,Month 25
5.7,Month 26
5.88,Month 27
6.06,Month 28
6.24,Month 29
6.42,Month 30
6.6,Month 31
6.78,Month 32
6.96,Month 33
7.14,Month 34
7.32,Month 35
7.5,Month 36
7.68,Month 37
7.86,Month 38
8.04,Month 39
8.22,Month 40
8.4,Month 41
8.58,Month 42
8.76,Month 43
8.94,Month 44
9.12,Month 45
9.3,Month 46
9.48,Month 47
9.66,Month 48
9.84,Month 49
10.02,Month 50
10.2,Month 51
10.38,Month 52
10.56,Month 53
10.74,Month 54
10.92,Month 55
11.1,Month 56
11.28,Month 57
11.46,Month 58
11.64,Month 59
11.82,Month 60
12.0,Month 61
